source,productid,mobilename,sellingprice,mrp,discountoffering,rating,url,scraped_at
flipkart,86da1977dcdf1,"Apple iPhone 16 (Black, 256 GB)",79999,,,4.6,https://www.flipkart.com/apple-iphone-16-black-256-gb/p/itm86da1977dcdf1?pid=MOBH4DQFZCJJXUFG&lid=LSTMOBH4DQFZCJJXUFGO5DY3W&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_43&otracker=search&fm=organic&iid=5d54fa37-a63f-4a72-96df-40ef0bc52de0.MOBH4DQFZCJJXUFG.SEARCH&ppt=sp&ppn=sp&ssid=v8gzyf0bio0000001759411982207&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",5899,8999,34% off,4.4,https://www.flipkart.com/realme-c61-marble-black-64-gb/p/itmd6ddbcefce040?pid=MOBHFRKRAHPWY9JA&lid=LSTMOBHFRKRAHPWY9JADLJL0N&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_44&otracker=search&fm=organic&iid=5d54fa37-a63f-4a72-96df-40ef0bc52de0.MOBHFRKRAHPWY9JA.SEARCH&ppt=sp&ppn=sp&ssid=v8gzyf0bio0000001759411982207&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,2d2e398127998,"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)",19999,36999,45% off,4.4,https://www.flipkart.com/samsung-galaxy-a35-5g-awesome-navy-256-gb/p/itm2d2e398127998?pid=MOBGYT2HEEYGMZFH&lid=LSTMOBGYT2HEEYGMZFH3U1TOF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_48&otracker=search&fm=organic&iid=en_Na1FiLFDZmpOJlVMqvqeC4kXjOlwuLGcmZl25BqItBmcLsCO3hR7CJMP-eeCyLaB6SfdgS-7ECX-BULs3G0SWU4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=sp&ppn=sp&ssid=v8gzyf0bio0000001759411982207&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 256 GB)",12999,16999,23% off,4.3,https://www.flipkart.com/vivo-t4-lite-5g-charger-box-titanium-gold-256-gb/p/itm9886d6e522c4b?pid=MOBHDY9FNTHSYQCV&lid=LSTMOBHDY9FNTHSYQCVKD0GFP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_49&otracker=search&fm=organic&iid=29ae2dd6-fbf2-4983-8153-629dd32c7d21.MOBHDY9FNTHSYQCV.SEARCH&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,0d8c695cded44,"Apple iPhone 16 (Pink, 256 GB)",79999,,,4.6,https://www.flipkart.com/apple-iphone-16-pink-256-gb/p/itm0d8c695cded44?pid=MOBH4DQF28XAYM2S&lid=LSTMOBH4DQF28XAYM2S3JPA23&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_50&otracker=search&fm=organic&iid=29ae2dd6-fbf2-4983-8153-629dd32c7d21.MOBH4DQF28XAYM2S.SEARCH&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,dbb95e3f12ab6,"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)",20999,25999,19% off,4.5,https://www.flipkart.com/motorola-edge-60-fusion-5g-pantone-mykonos-blue-256-gb/p/itmdbb95e3f12ab6?pid=MOBH9ARFZXNHC7VZ&lid=LSTMOBH9ARFZXNHC7VZD9IAPG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_51&otracker=search&fm=organic&iid=en_EtLwEoK5P2yXQO-U8Kh0A7obfX-GM4rNyG62oQpGIoLAOkDkM57FEjHLYUuO9qGvyY8ZyFD_IY7JPYO-B5XDcQ%3D%3D&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,9218b12ff853f,"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)",20999,25999,19% off,4.5,https://www.flipkart.com/motorola-edge-60-fusion-5g-pantone-amazonite-256-gb/p/itm9218b12ff853f?pid=MOBH9ARFPVNU7QNU&lid=LSTMOBH9ARFPVNU7QNU36Q1QX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_52&otracker=search&fm=organic&iid=en_EtLwEoK5P2yXQO-U8Kh0A7obfX-GM4rNyG62oQpGIoIlS-r5FJMZPd5jAuhu44IVktr4pWrpoAdObeOizu3dBQ%3D%3D&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,4f25cec0bd003,"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",119999,,,4.7,https://www.flipkart.com/apple-iphone-16-pro-desert-titanium-256-gb/p/itm4f25cec0bd003?pid=MOBH4DQFEZFXPGNJ&lid=LSTMOBH4DQFEZFXPGNJV4UWQH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_54&otracker=search&fm=organic&iid=29ae2dd6-fbf2-4983-8153-629dd32c7d21.MOBH4DQFEZFXPGNJ.SEARCH&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",134999,,,4.7,https://www.flipkart.com/apple-iphone-16-pro-max-natural-titanium-256-gb/p/itm05ad8e674782a?pid=MOBH4DQFRST2BQQ8&lid=LSTMOBH4DQFRST2BQQ8UII8UK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_56&otracker=search&fm=organic&iid=29ae2dd6-fbf2-4983-8153-629dd32c7d21.MOBH4DQFRST2BQQ8.SEARCH&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
flipkart,5a31476ca6a35,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)",17999,33999,47% off,4.4,https://www.flipkart.com/samsung-galaxy-a35-5g-awesome-lilac-128-gb/p/itm5a31476ca6a35?pid=MOBGYT2HDZYASSZG&lid=LSTMOBGYT2HDZYASSZGOUJTDB&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_57&otracker=search&fm=organic&iid=en_EtLwEoK5P2yXQO-U8Kh0A7obfX-GM4rNyG62oQpGIoK8NXRVKj3I6U2q9DyTZVOQ8fHSi57wzM-W4GdKMzecqA%3D%3D&ppt=sp&ppn=sp&ssid=cw7v0d0ucw0000001759411986518&qH=eb4af0bf07c16429,2025-10-02T13:32:56.123465
