source,productid,mobilename,userid,review,rating,reviewdate
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Gitashree konwar,...Low price best product.Love itCamera quality is too good,,4 months ago
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",sanjay Nagbongshi,...Camera quality very bad �,,1 month ago
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Flipkart Customer,...Camera is not goodVery bad camera,,"Aug, 2024"
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Kcg T,...Camera low quality,,8 months ago
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Saras Sachan,...Nice Product...Nice Design...Nice Camera...Sound Quality is best...Battery Backup,,9 months ago
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",SUSHEEL KUMAR,...Camera is not good,,9 months ago
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Arpit  jaiswal,...good battery and best camera..,,7 months ago
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Vijay Patel,...Superb phone..camera is awesome in this price,,28 days ago
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Gajendra Singh Rathore,...Pros:-1. Nice design and display2. Light weight and slim3. Good Camera,,8 months ago
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",P kirankumar P,...Best price camera is super happy realme and happy Flipkart,,6 months ago
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Urmila,...Battery backup poor camera quality worst mobile battery charging takes more hour's in a single day order recieved of new phone,,2 months ago
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Himanshu Kashyap,"...All good in this price range,camera, performance, battery, charging all good .",,10 months ago
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Nirgun Kumar,...Very nice pics,,8 months ago
flipkart,d6ddbcefce040,"realme C61 (Marble Black, 64 GB)",Anonymous,,,
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Deepak Baretha,"...Camera Quality is very good, feel like premium phone",,7 days ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Flipkart Customer,"...4. Cameras: This is the only saving grace, however still not perfect.",,2 days ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Keshav Pawaskar,...The main camera captures good photos with sharp details and doesn't produce overly soft images.,,2 months ago
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Krushna dash,...Very bad mobile and camera quality is very bad.,,1 month ago
