source,productid,mobilename,sellingprice,mrp,discountoffering,rating,url,scraped_at
flipkart,8553dc1ee56ee,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",20999,25999.0,19% off,4.5,https://www.flipkart.com/motorola-edge-60-fusion-5g-pantone-slipstream-256-gb/p/itm8553dc1ee56ee?pid=MOBH9ARFZHXSRYMA&lid=LSTMOBH9ARFZHXSRYMAFEL0WA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=search&fm=organic&iid=9a3a4c5f-f812-492c-9915-cf547c5c1359.MOBH9ARFZHXSRYMA.SEARCH&ppt=None&ppn=None&ssid=d25xvlq3sg0000001758793488365&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",12499,16999.0,26% off,4.5,https://www.flipkart.com/oppo-k13x-5g-6000mah-45w-supervooc-charger-ai-sunset-peach-128-gb/p/itm62b2e62fbb43e?pid=MOBHDY9PVAHGDHWG&lid=LSTMOBHDY9PVAHGDHWGBSHGNL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_26&otracker=search&fm=organic&iid=461f012b-a32f-4d47-84fb-6552ae046c2f.MOBHDY9PVAHGDHWG.SEARCH&ppt=sp&ppn=sp&ssid=si0b9hjlo00000001758793493480&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,9886d6e522c4b,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 256 GB)",12999,16999.0,23% off,4.3,https://www.flipkart.com/vivo-t4-lite-5g-charger-box-titanium-gold-256-gb/p/itm9886d6e522c4b?pid=MOBHDY9FNTHSYQCV&lid=LSTMOBHDY9FNTHSYQCVKD0GFP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_34&otracker=search&fm=organic&iid=461f012b-a32f-4d47-84fb-6552ae046c2f.MOBHDY9FNTHSYQCV.SEARCH&ppt=sp&ppn=sp&ssid=si0b9hjlo00000001758793493480&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",134999,,,4.6,https://www.flipkart.com/apple-iphone-16-pro-max-natural-titanium-256-gb/p/itm05ad8e674782a?pid=MOBH4DQFRST2BQQ8&lid=LSTMOBH4DQFRST2BQQ8UII8UK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_35&otracker=search&fm=organic&iid=461f012b-a32f-4d47-84fb-6552ae046c2f.MOBH4DQFRST2BQQ8.SEARCH&ppt=sp&ppn=sp&ssid=si0b9hjlo00000001758793493480&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,017656bdd097b,"vivo T4x 5G (Pronto Purple, 128 GB)",13499,17999.0,25% off,4.4,https://www.flipkart.com/vivo-t4x-5g-pronto-purple-128-gb/p/itm017656bdd097b?pid=MOBH9JUSZFBNVDXM&lid=LSTMOBH9JUSZFBNVDXMQY4SVC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_40&otracker=search&fm=organic&iid=461f012b-a32f-4d47-84fb-6552ae046c2f.MOBH9JUSZFBNVDXM.SEARCH&ppt=sp&ppn=sp&ssid=si0b9hjlo00000001758793493480&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,d28ffaee4b29a,"MOTOROLA Edge 60 Pro (Pantone Walnut, 256 GB)",26999,36999.0,27% off,4.3,https://www.flipkart.com/motorola-edge-60-pro-pantone-walnut-256-gb/p/itmd28ffaee4b29a?pid=MOBHC7EW5CW3T4UR&lid=LSTMOBHC7EW5CW3T4URERRDRA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_44&otracker=search&fm=organic&iid=461f012b-a32f-4d47-84fb-6552ae046c2f.MOBHC7EW5CW3T4UR.SEARCH&ppt=sp&ppn=sp&ssid=si0b9hjlo00000001758793493480&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,84a914081ab93,"Samsung Galaxy F05 (Twilight Blue, 64 GB)",6249,9999.0,37% off,4.2,https://www.flipkart.com/samsung-galaxy-f05-twilight-blue-64-gb/p/itm84a914081ab93?pid=MOBH4GTXZ9ZRQ3SU&lid=LSTMOBH4GTXZ9ZRQ3SUXCBGGE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_46&otracker=search&fm=organic&iid=461f012b-a32f-4d47-84fb-6552ae046c2f.MOBH4GTXZ9ZRQ3SU.SEARCH&ppt=sp&ppn=sp&ssid=si0b9hjlo00000001758793493480&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,e960199e26f23,"Samsung Galaxy S24 FE 5G (Blue, 128 GB)",29999,59999.0,50% off,4.5,https://www.flipkart.com/samsung-galaxy-s24-fe-5g-blue-128-gb/p/itme960199e26f23?pid=MOBH4ZG3Z5NCBW2H&lid=LSTMOBH4ZG3Z5NCBW2HWQMO2K&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_49&otracker=search&fm=organic&iid=ece0a0a2-9beb-48ce-af90-6b6755062653.MOBH4ZG3Z5NCBW2H.SEARCH&ppt=sp&ppn=sp&ssid=zngzaclq800000001758793498024&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,c60e0c4fb63b7,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 256 GB)",44999,79999.0,43% off,4.6,https://www.flipkart.com/samsung-galaxy-s24-5g-snapdragon-marble-gray-256-gb/p/itmc60e0c4fb63b7?pid=MOBHDVFKAWDVHJTU&lid=LSTMOBHDVFKAWDVHJTUK7PT9L&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_50&otracker=search&fm=organic&iid=ece0a0a2-9beb-48ce-af90-6b6755062653.MOBHDVFKAWDVHJTU.SEARCH&ppt=sp&ppn=sp&ssid=zngzaclq800000001758793498024&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
flipkart,10fbd7f3a50f1,"REDMI Note 14 SE 5G (Crimson Art, 128 GB)",12999,19999.0,35% off,4.1,https://www.flipkart.com/redmi-note-14-se-5g-crimson-art-128-gb/p/itm10fbd7f3a50f1?pid=MOBHE48SXCFFFTTT&lid=LSTMOBHE48SXCFFFTTTDUVPWS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_51&otracker=search&fm=organic&iid=en_5XlNLN61GjfW1RUJIdEEfkpMjCecC8pjlOKUhIFWuG79AxF9fjepumApZol1sha4RRBhnNwN7-sv7hJO53aJKk4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=sp&ppn=sp&ssid=zngzaclq800000001758793498024&qH=eb4af0bf07c16429,2025-09-25T15:14:45.576137
