source,productid,category,mobilename,sellingprice,mrp,discountoffering,rating,url,scraped_at
flipkart,COMHD8BGE3PJJGAP,laptops,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) BBN40825614 Lap...,26500.0,29999.0,11% off,,https://www.flipkart.com/neopticon-browsebook-intel-celeron-dual-core-n4020-8-gb-256-gb-ssd-windows-11-home-bbn40825614-laptop/p/itm1f0cba8e31826?pid=COMHD8BGE3PJJGAP&lid=LSTCOMHD8BGE3PJJGAP8SRMUD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHD8BGE3PJJGAP.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMH8Z2QRWQQZTCJ,laptops,ASUS Expertbook P1 with 1 Yr ADP(i3 14th Gen) Intel Core 3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 1...,47990.0,69990.0,31% off,,https://www.flipkart.com/asus-expertbook-p1-1-yr-adp-i3-14th-gen-intel-core-3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-p1403cva-s60343ws-thin-light-laptop/p/itm275e21a6deac0?pid=COMH8Z2QRWQQZTCJ&lid=LSTCOMH8Z2QRWQQZTCJ7QVQUG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMH8Z2QRWQQZTCJ.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHKQA3R42GHHJF,laptops,ASUS Chromebook CX14 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CTA-S6062...,24402.0,28990.0,15% off,,https://www.flipkart.com/asus-chromebook-cx14-intel-celeron-dual-core-n50-4-gb-64-gb-emmc-storage-chrome-os-cx1405cta-s60620-laptop/p/itm5a14f3731bf15?pid=COMHKQA3R42GHHJF&lid=LSTCOMHKQA3R42GHHJF2PWTQM&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHKQA3R42GHHJF.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMH2TPSVSGUVKY4,laptops,Acer Aspire Lite AMD Ryzen 3 Quad Core 5400U - (8 GB/256 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,39990.0,44990.0,11% off,,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-3-quad-core-5400u-8-gb-256-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMH2TPSVSGUVKY4&lid=LSTCOMH2TPSVSGUVKY4MJENVA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMH2TPSVSGUVKY4.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMH7NCZGGGWQC4W,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,35500.0,49990.0,28% off,,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-128-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZGGGWQC4W&lid=LSTCOMH7NCZGGGWQC4WQWLTBD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMH7NCZGGGWQC4W.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHCYMG83BGNQHH,laptops,Lenovo Chromebook 11IJL9 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) Chromeboo...,16990.0,36502.0,53% off,,https://www.flipkart.com/lenovo-chromebook-11ijl9-intel-celeron-dual-core-n4500-4-gb-64-gb-emmc-storage-chrome-os/p/itmd2a376187074e?pid=COMHCYMG83BGNQHH&lid=LSTCOMHCYMG83BGNQHHQNGMKF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHCYMG83BGNQHH.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHD8BGPXTWVY3J,laptops,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) BBN40412814 Lap...,15989.0,25990.0,38% off,,https://www.flipkart.com/neopticon-browsebook-intel-celeron-dual-core-n4020-4-gb-128-gb-ssd-windows-11-home-bbn40412814-laptop/p/itm8249747b82715?pid=COMHD8BGPXTWVY3J&lid=LSTCOMHD8BGPXTWVY3JIBMJED&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=default_TrendingId_6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHD8BGPXTWVY3J.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHK77SZSZHTEV7,laptops,HP Victus (i5 14th Gen) Intel Core 5 210 H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,94990.0,95746.0,,,https://www.flipkart.com/hp-victus-i5-14th-gen-intel-core-5-210-h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-15-fa2203tx-gaming-laptop/p/itm65704ff158138?pid=COMHK77SZSZHTEV7&lid=LSTCOMHK77SZSZHTEV7VVWD14&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHK77SZSZHTEV7.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMHK55FMC67NQ5V,laptops,HP MS Office 2024 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0045TU Thin ...,67990.0,69023.0,1% off,,https://www.flipkart.com/hp-ms-office-2024-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-15-fr0045tu-thin-light-laptop/p/itm5a4df44828227?pid=COMHK55FMC67NQ5V&lid=LSTCOMHK55FMC67NQ5VHTFVCX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMHK55FMC67NQ5V.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
flipkart,COMH397XPF4Z3BMX,laptops,Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15 - 4...,54990.0,72999.0,24% off,,https://www.flipkart.com/acer-aspire-3-backlit-amd-ryzen-7-octa-core-7730u-16-gb-512-gb-ssd-windows-11-home-as15-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH397XPF4Z3BMX&lid=LSTCOMH397XPF4Z3BMXL8O53G&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=6809ba11-3b7f-4658-ad6f-b0e434ecd982.COMH397XPF4Z3BMX.SEARCH&ppt=None&ppn=None&ssid=4s7cknnvls0000001788947178799&qH=c06ea84a1e3dc3c6&ov_redirect=true,2026-09-09T09:46:13.810502
