productid,category,product_name,review_count,n_price_points,price_volatility,norm_reviews,norm_volatility,composite_score
COMHBFRJJPDPHZ2H,laptops,HP Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0569TU Thin and Light Laptop,0,2,,0.0,0.0,0.0
COMHBFRJKS4UDSRU,laptops,HP 15s Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-hr0005TU Thin and Lig...,0,1,,0.0,0.0,0.0
COMHBYH3ZQMZKTSA,laptops,Acer Aspire AMD Ryzen 5 Hexa Core 7430U - (16 GB/1 TB SSD/Windows 11 Home) AS15-42 Thin and Light Lapt...,0,1,,0.0,0.0,0.0
COMHCC7ADKEWZPSJ,laptops,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,0,1,,0.0,0.0,0.0
COMHCPHGZXJWVNX2,laptops,HP 15 (2025) AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) 15 Thin and Light Laptop,0,2,,0.0,0.0,0.0
COMHCYMG83BGNQHH,laptops,Lenovo Chromebook 11IJL9 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) Chromeboo...,0,2,,0.0,0.0,0.0
COMHD8BGE3PJJGAP,laptops,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) BBN40825614 Lap...,0,1,,0.0,0.0,0.0
COMHD8BGH99YFMNR,laptops,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (4 GB/256 GB SSD/Windows 11 Home) BBN40425614 Lap...,0,2,,0.0,0.0,0.0
COMHD8BGPXTWVY3J,laptops,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) BBN40412814 Lap...,0,2,,0.0,0.0,0.0
COMHDFUWWFF77NQC,laptops,HP Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0046TU Thin and Light Lapto...,0,1,,0.0,0.0,0.0
COMHDG7CFDWVKYMZ,laptops,"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",0,2,,0.0,0.0,0.0
COMHDGD5FH6NZPHD,laptops,Primebook 2 Pro (2026) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/128 GB/Android 15) PBG9914128#4...,0,2,,0.0,0.0,0.0
COMHDWZ63ZXXJTNF,laptops,DELL Inspiron 15 (Core i3 14th Gen) Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) DC15250 Thin...,0,1,,0.0,0.0,0.0
COMHDZVEE22P67WR,laptops,HP Victus AI AMD Ryzen 7 Octa Core 260 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,0,1,,0.0,0.0,0.0
COMHE4ATFWNVHXHS,laptops,Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Snapdragon X - (16 GB/512 GB SSD/Wind...,0,3,0.0,0.0,0.0,0.0
COMHEHHXKFQSABXZ,laptops,HP OMEN AI AMD Ryzen AI 7 Octa Core AI 7 350 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,0,2,,0.0,0.0,0.0
COMHEZA8DBZRJXZG,laptops,HP 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0028TU | 15-fr0045TU Thi...,0,2,,0.0,0.0,0.0
COMHEZZTHYZ3DUK5,laptops,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (16 GB/512 GB S...",0,2,,0.0,0.0,0.0
COMHF8KZGUMD7GHG,laptops,Acer Nitro V 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,0,1,,0.0,0.0,0.0
COMHFBRSJHWSFV3C,laptops,Lenovo IdeaPad Slim 3 with 1Yr ADP Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15...,0,1,,0.0,0.0,0.0
COMHFSGXHHSXD7MF,laptops,DELL 14 Microsoft Office Home 2024 Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5441 Thi...,0,2,,0.0,0.0,0.0
COMHFT2NY5V7RCMK,laptops,ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,0,2,,0.0,0.0,0.0
COMHFZYZFVD2MCAB,laptops,Acer Aspire 3 Intel Celeron Dual Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Ligh...,0,1,,0.0,0.0,0.0
COMHG77QAFYQFUQG,laptops,HP 255 G10 (2025) AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Pro) 255 G10 Thin and Light...,0,2,,0.0,0.0,0.0
COMHGEUYS4ZYZU3R,laptops,Acer Aspire 7 (i7 14th Gen) Intel Core 7 240H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,0,1,,0.0,0.0,0.0
