source,product_id,product_name,price,mrp,discount,rating,url,scraped_at,matched_id,category
flipkart,7c0281cd247be,"Apple iPhone 16 (White, 128 GB)",69999.0,,0.0,4.6,https://www.flipkart.com/apple-iphone-16-white-128-gb/p/itm7c0281cd247be?pid=MOBH4DQF849HCG6G&lid=LSTMOBH4DQF849HCG6GXHBPXY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=4e90edb2-cdb5-4790-a335-42afdb048ade.MOBH4DQF849HCG6G.SEARCH&ppt=None&ppn=None&ssid=a5a7fbyips0000001759411977487&qH=eb4af0bf07c16429,2025-10-02 13:32:56.123465,MATCH_0001,mobiles
flipkart,2c05672b9a986,"Motorola g45 5G (Pantone Moss, 128 GB)",11999.0,14999.0,20.0,4.3,https://www.flipkart.com/motorola-g45-5g-pantone-moss-128-gb/p/itm2c05672b9a986?pid=MOBHC7EW9YTZVZG4&lid=LSTMOBHC7EW9YTZVZG4DYED2B&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=4e90edb2-cdb5-4790-a335-42afdb048ade.MOBHC7EW9YTZVZG4.SEARCH&ppt=None&ppn=None&ssid=a5a7fbyips0000001759411977487&qH=eb4af0bf07c16429,2025-10-02 13:32:56.123465,MATCH_0002,mobiles
flipkart,4f3bbebe58a57,"Motorola g45 5G (Brilliant Green, 128 GB)",11999.0,14999.0,20.0,4.3,https://www.flipkart.com/motorola-g45-5g-brilliant-green-128-gb/p/itm4f3bbebe58a57?pid=MOBH3YKQQN3S9TQQ&lid=LSTMOBH3YKQQN3S9TQQIXCQDO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&fm=organic&iid=4e90edb2-cdb5-4790-a335-42afdb048ade.MOBH3YKQQN3S9TQQ.SEARCH&ppt=None&ppn=None&ssid=a5a7fbyips0000001759411977487&qH=eb4af0bf07c16429,2025-10-02 13:32:56.123465,MATCH_0004,mobiles
flipkart,c2e910b4d0b1c,"Apple iPhone 16 (Pink, 128 GB)",69999.0,,0.0,4.6,https://www.flipkart.com/apple-iphone-16-pink-128-gb/p/itmc2e910b4d0b1c?pid=MOBH4DQFWJVDRSHM&lid=LSTMOBH4DQFWJVDRSHMAMTBLL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=search&fm=organic&iid=4e90edb2-cdb5-4790-a335-42afdb048ade.MOBH4DQFWJVDRSHM.SEARCH&ppt=None&ppn=None&ssid=a5a7fbyips0000001759411977487&qH=eb4af0bf07c16429,2025-10-02 13:32:56.123465,MATCH_0005,mobiles
flipkart,93452c0761719,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",15999.0,20999.0,23.0,4.4,https://www.flipkart.com/motorola-g96-5g-pantone-ashleigh-blue-128-gb/p/itm93452c0761719?pid=MOBHB3SZ2ZUQQQ9U&lid=LSTMOBHB3SZ2ZUQQQ9U5BKC6D&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_29&otracker=search&fm=organic&iid=5d54fa37-a63f-4a72-96df-40ef0bc52de0.MOBHB3SZ2ZUQQQ9U.SEARCH&ppt=sp&ppn=sp&ssid=v8gzyf0bio0000001759411982207&qH=eb4af0bf07c16429,2025-10-02 13:32:56.123465,MATCH_0006,mobiles
flipkart,cc210cae43fba,"Apple iPhone 16 (Ultramarine, 128 GB)",69999.0,,0.0,4.6,https://www.flipkart.com/apple-iphone-16-ultramarine-128-gb/p/itmcc210cae43fba?pid=MOBH4DQFYZT6EH2F&lid=LSTMOBH4DQFYZT6EH2FXM70WU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_30&otracker=search&fm=organic&iid=5d54fa37-a63f-4a72-96df-40ef0bc52de0.MOBH4DQFYZT6EH2F.SEARCH&ppt=sp&ppn=sp&ssid=v8gzyf0bio0000001759411982207&qH=eb4af0bf07c16429,2025-10-02 13:32:56.123465,MATCH_0007,mobiles
flipkart,017656bdd097b,"vivo T4x 5G (Pronto Purple, 128 GB)",13499.0,17999.0,25.0,4.4,https://www.flipkart.com/vivo-t4x-5g-pronto-purple-128-gb/p/itm017656bdd097b?pid=MOBH9JUSZFBNVDXM&lid=LSTMOBH9JUSZFBNVDXMQY4SVC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_2_34&otracker=search&fm=organic&iid=5d54fa37-a63f-4a72-96df-40ef0bc52de0.MOBH9JUSZFBNVDXM.SEARCH&ppt=sp&ppn=sp&ssid=v8gzyf0bio0000001759411982207&qH=eb4af0bf07c16429,2025-10-02 13:32:56.123465,MATCH_0008,mobiles
flipkart,e960199e26f23,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)",33999.0,65999.0,48.0,4.5,https://www.flipkart.com/samsung-galaxy-s24-fe-5g-mint-256-gb/p/itme960199e26f23?pid=MOBH4ZG3JACNJMZC&lid=LSTMOBH4ZG3JACNJMZCFREL85&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_35&otracker=search&fm=organic&iid=5d54fa37-a63f-4a72-96df-40ef0bc52de0.MOBH4ZG3JACNJMZC.SEARCH&ppt=sp&ppn=sp&ssid=v8gzyf0bio0000001759411982207&qH=eb4af0bf07c16429,2025-10-02 13:32:56.123465,MATCH_0009,mobiles
flipkart,ce4bb3f55cc2f,"Apple iPhone 16 (Teal, 128 GB)",69999.0,,0.0,4.6,https://www.flipkart.com/apple-iphone-16-teal-128-gb/p/itmce4bb3f55cc2f?pid=MOBH4DQFSY9ETDUU&lid=LSTMOBH4DQFSY9ETDUUI6AN3O&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_2_40&otracker=search&fm=organic&iid=5d54fa37-a63f-4a72-96df-40ef0bc52de0.MOBH4DQFSY9ETDUU.SEARCH&ppt=sp&ppn=sp&ssid=v8gzyf0bio0000001759411982207&qH=eb4af0bf07c16429,2025-10-02 13:32:56.123465,MATCH_0010,mobiles
flipkart,86da1977dcdf1,"Apple iPhone 16 (Black, 256 GB)",79999.0,,0.0,4.6,https://www.flipkart.com/apple-iphone-16-black-256-gb/p/itm86da1977dcdf1?pid=MOBH4DQFZCJJXUFG&lid=LSTMOBH4DQFZCJJXUFGO5DY3W&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_43&otracker=search&fm=organic&iid=5d54fa37-a63f-4a72-96df-40ef0bc52de0.MOBH4DQFZCJJXUFG.SEARCH&ppt=sp&ppn=sp&ssid=v8gzyf0bio0000001759411982207&qH=eb4af0bf07c16429,2025-10-02 13:32:56.123465,MATCH_0011,mobiles
